# Sao Paulo Mirante (A701), -23.496289, -46.620067, 785.64 m
# date,°C,%,hPa,mm,m/s,degree
date,tc,rh,pr,rr,ws,wd
2024-08-01 00:00:00-03:00,16.3,83.0,934.3,0.0,2.2,122.0
2024-08-01 01:00:00-03:00,16.1,83.0,934.0,0.0,2.4,106.0
2024-08-01 02:00:00-03:00,15.9,85.0,933.6,0.0,2.7,112.0
2024-08-01 03:00:00-03:00,15.8,85.0,933.3,0.0,2.8,118.0
2024-08-01 04:00:00-03:00,15.8,84.0,933.2,0.0,2.8,122.0
2024-08-01 05:00:00-03:00,15.6,84.0,933.3,0.0,3.1,126.0
2024-08-01 06:00:00-03:00,15.6,85.0,933.8,0.0,2.2,121.0
2024-08-01 07:00:00-03:00,15.1,87.0,934.2,0.0,2.6,125.0
2024-08-01 08:00:00-03:00,15.6,84.0,934.7,0.0,1.8,122.0
2024-08-01 09:00:00-03:00,16.1,82.0,935.3,0.0,1.8,110.0
2024-08-01 10:00:00-03:00,16.8,77.0,935.7,0.0,2.0,143.0
2024-08-01 11:00:00-03:00,19.1,66.0,935.2,0.0,1.8,107.0
2024-08-01 12:00:00-03:00,21.2,55.0,934.2,0.0,2.1,124.0
2024-08-01 13:00:00-03:00,23.7,46.0,933.1,0.0,1.6,134.0
2024-08-01 14:00:00-03:00,24.8,42.0,932.4,0.0,2.2,149.0
2024-08-01 15:00:00-03:00,25.3,21.0,931.9,0.0,2.1,120.0
2024-08-01 16:00:00-03:00,25.2,22.0,931.7,0.0,1.3,163.0
2024-08-01 17:00:00-03:00,23.3,49.0,931.9,0.0,1.4,194.0
2024-08-01 18:00:00-03:00,20.1,65.0,932.3,0.0,1.2,208.0
2024-08-01 19:00:00-03:00,17.8,76.0,932.8,0.0,1.5,209.0
2024-08-01 20:00:00-03:00,16.8,81.0,933.2,0.0,0.5,217.0
2024-08-01 21:00:00-03:00,16.5,83.0,933.6,0.0,0.9,181.0
2024-08-01 22:00:00-03:00,16.3,84.0,933.7,0.0,1.5,148.0
2024-08-01 23:00:00-03:00,15.8,84.0,933.6,0.0,1.5,129.0
2024-08-02 00:00:00-03:00,15.7,79.0,933.4,0.0,2.1,123.0
2024-08-02 01:00:00-03:00,15.4,78.0,933.2,0.0,2.6,116.0
2024-08-02 02:00:00-03:00,14.9,81.0,932.8,0.0,2.7,121.0
2024-08-02 03:00:00-03:00,14.6,85.0,932.4,0.0,2.0,123.0
2024-08-02 04:00:00-03:00,14.4,85.0,932.2,0.0,1.3,115.0
2024-08-02 05:00:00-03:00,14.4,86.0,932.5,0.0,1.6,124.0
2024-08-02 06:00:00-03:00,14.4,87.0,933.0,0.0,2.7,124.0
2024-08-02 07:00:00-03:00,14.4,87.0,933.6,0.0,1.9,113.0
2024-08-02 08:00:00-03:00,15.4,82.0,934.2,0.0,2.0,120.0
2024-08-02 09:00:00-03:00,16.8,74.0,934.8,0.0,2.6,116.0
2024-08-02 10:00:00-03:00,19.4,66.0,934.9,0.0,1.7,112.0
2024-08-02 11:00:00-03:00,21.3,58.0,934.3,0.0,2.1,121.0
2024-08-02 12:00:00-03:00,23.1,47.0,933.2,0.0,2.0,121.0
2024-08-02 13:00:00-03:00,24.2,42.0,932.1,0.0,1.5,114.0
2024-08-02 14:00:00-03:00,25.5,34.0,931.2,0.0,1.4,140.0
2024-08-02 15:00:00-03:00,25.7,31.0,930.6,0.0,0.6,101.0
2024-08-02 16:00:00-03:00,26.1,32.0,930.4,0.0,0.5,147.0
