Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202408.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
275,10,56,-47.11928,-22.94673,2024-08-27,21:00:00,35.4965,0.889298,29.2160,2.91666,227.161,0.653767,2.70292,6.76335,4.83977,4000.07,3650.50,2349.29,612.367
275,10,56,-47.11928,-22.94673,2024-08-27,22:00:00,33.9004,1.00721,24.7039,2.86690,195.813,0.530789,2.21938,6.13003,3.99031,3343.45,3004.22,1877.72,491.326
275,10,56,-47.11928,-22.94673,2024-08-27,23:00:00,29.7341,1.50590,24.8913,2.93631,200.181,0.537730,2.34182,6.62348,3.91144,3315.92,2886.75,1675.36,441.472
275,10,56,-47.11928,-22.94673,2024-08-28,00:00:00,19.4282,3.86799,33.5537,3.29150,270.793,0.621922,3.69881,8.66357,5.06253,4467.08,3721.66,1940.55,517.263
275,10,56,-47.11928,-22.94673,2024-08-28,01:00:00,6.27104,12.7793,47.8408,4.13914,427.555,0.761581,6.65615,10.7569,7.00247,7133.68,5799.17,2777.40,702.023
275,10,56,-47.11928,-22.94673,2024-08-28,02:00:00,1.37846,27.6704,55.5409,5.08573,602.018,0.935878,9.92366,13.1935,9.15522,10127.3,8185.19,3799.30,920.821
275,10,56,-47.11928,-22.94673,2024-08-28,03:00:00,0.332258,41.6046,58.8375,5.92269,743.595,1.08704,12.5709,15.8657,11.1514,12477.9,10049.5,4615.70,1105.89
275,10,56,-47.11928,-22.94673,2024-08-28,04:00:00,0.812913E-01,52.3197,60.4990,6.90113,847.586,1.23412,14.5177,18.7491,12.9715,14257.2,11492.8,5291.97,1270.91
275,10,56,-47.11928,-22.94673,2024-08-28,05:00:00,0.326091E-01,56.4861,60.9659,7.66661,885.141,1.31080,15.2133,20.8662,14.0478,14980.8,12044.5,5591.54,1363.54
275,10,56,-47.11928,-22.94673,2024-08-28,06:00:00,0.465781,56.4000,60.0026,7.98961,881.994,1.32286,15.1116,21.7521,14.3828,14857.7,11879.3,5579.70,1392.15
275,10,56,-47.11928,-22.94673,2024-08-28,07:00:00,6.40169,68.0740,54.6842,8.54313,959.169,1.41598,16.4582,23.1168,15.9658,16056.7,12955.9,6155.25,1525.04
275,10,56,-47.11928,-22.94673,2024-08-28,08:00:00,13.2726,65.2268,49.5718,8.25132,911.767,1.33222,15.3869,23.1703,16.0415,15253.1,12499.9,6061.41,1483.35
275,10,56,-47.11928,-22.94673,2024-08-28,09:00:00,26.8446,28.7774,35.5772,6.05721,525.930,0.790596,8.07845,19.6721,11.3352,8837.47,7273.65,3707.24,974.280
275,10,56,-47.11928,-22.94673,2024-08-28,10:00:00,38.5855,19.8471,31.6599,6.67970,442.231,0.674264,6.36414,20.9270,11.5218,7488.93,6187.23,3293.25,907.756
275,10,56,-47.11928,-22.94673,2024-08-28,11:00:00,53.8210,12.5918,27.2343,6.25837,375.306,0.570958,4.93321,22.6022,11.2507,6075.53,4926.02,2634.89,785.564
275,10,56,-47.11928,-22.94673,2024-08-28,12:00:00,65.6499,8.93775,24.2303,5.24616,340.092,0.517872,4.12607,23.0923,10.8922,5250.29,4158.42,2194.33,687.180
275,10,56,-47.11928,-22.94673,2024-08-28,13:00:00,72.4115,7.09650,22.7578,4.00642,321.393,0.487690,3.69418,22.5631,10.1562,4768.22,3691.49,1888.50,608.975
275,10,56,-47.11928,-22.94673,2024-08-28,14:00:00,76.0000,5.75638,22.1568,3.22100,308.847,0.468092,3.40993,22.2577,9.84832,4478.16,3434.13,1749.09,573.365
275,10,56,-47.11928,-22.94673,2024-08-28,15:00:00,77.4680,4.40759,22.1312,2.77311,297.160,0.457074,3.16618,21.8657,9.60295,4233.20,3205.99,1640.63,553.256
275,10,56,-47.11928,-22.94673,2024-08-28,16:00:00,77.1848,2.78802,23.4877,2.53842,289.815,0.468748,2.98862,21.2174,9.45440,4219.41,3274.24,1663.10,548.327
275,10,56,-47.11928,-22.94673,2024-08-28,17:00:00,67.5758,1.07734,36.9674,3.32391,351.086,0.665992,3.96114,21.0317,10.6220,5577.54,4498.75,2210.46,660.518
275,10,56,-47.11928,-22.94673,2024-08-28,18:00:00,45.8595,0.859871,51.9597,4.33983,430.730,1.02985,5.33467,20.2827,12.4347,7296.35,6027.84,3025.27,854.422
275,10,56,-47.11928,-22.94673,2024-08-28,19:00:00,17.1717,2.66715,63.0451,5.15062,464.465,1.30452,6.42489,14.5838,10.7349,7967.39,6589.92,3450.92,910.802
275,10,56,-47.11928,-22.94673,2024-08-28,20:00:00,20.2876,1.77390,45.6700,4.24233,330.308,0.998803,4.45357,9.11865,6.77759,5828.47,5022.75,2653.28,646.959
275,10,56,-47.11928,-22.94673,2024-08-28,21:00:00,26.8897,1.14439,32.6299,3.63167,247.026,0.795991,3.07005,7.79225,5.12814,4296.50,3693.75,1967.62,501.692
275,10,56,-47.11928,-22.94673,2024-08-28,22:00:00,22.7459,1.41369,31.5490,3.88959,233.225,0.787314,2.90924,7.96934,4.86159,4125.27,3532.00,1859.39,476.684
275,10,56,-47.11928,-22.94673,2024-08-28,23:00:00,17.1325,2.28501,33.4482,4.15327,249.937,0.799285,3.26056,9.15970,5.12977,4362.49,3680.79,1864.31,494.607
275,10,56,-47.11928,-22.94673,2024-08-29,00:00:00,6.15683,8.82111,44.2555,4.91551,373.406,0.905483,5.52787,12.0086,6.87215,6268.66,5179.56,2493.54,662.834
275,10,56,-47.11928,-22.94673,2024-08-29,01:00:00,0.213754,35.9747,54.1807,6.81195,675.903,1.23734,11.0974,18.2299,11.1267,11229.5,9130.92,4194.27,1060.47
275,10,56,-47.11928,-22.94673,2024-08-29,02:00:00,0.100806E-01,69.2515,60.1700,8.74791,1003.50,1.59401,17.1643,24.4078,15.6025,16500.1,13339.0,5962.98,1454.72
275,10,56,-47.11928,-22.94673,2024-08-29,03:00:00,0.525209E-02,83.8055,62.6253,9.98750,1150.47,1.74940,19.8881,27.3714,17.7094,18825.6,15176.5,6772.99,1642.88
275,10,56,-47.11928,-22.94673,2024-08-29,04:00:00,0.472873E-02,88.7881,63.9708,11.2323,1202.12,1.84672,20.8589,29.1100,18.6619,19758.2,15984.1,7157.71,1718.83
275,10,56,-47.11928,-22.94673,2024-08-29,05:00:00,0.311512E-02,97.1862,65.8316,13.1058,1277.75,2.00222,22.2813,31.7757,20.0503,21314.1,17404.6,7791.96,1841.35
275,10,56,-47.11928,-22.94673,2024-08-29,06:00:00,0.282556,104.367,65.8963,14.8209,1339.90,2.12045,23.4460,33.9530,21.1619,22386.4,18352.0,8234.67,1936.11
275,10,56,-47.11928,-22.94673,2024-08-29,07:00:00,7.18576,65.8573,54.1369,12.4894,942.096,1.52206,16.0322,28.4922,16.4892,15933.8,13145.2,6095.02,1474.15
275,10,56,-47.11928,-22.94673,2024-08-29,08:00:00,19.0895,34.8616,40.9256,9.96946,613.758,1.01126,9.76083,23.7294,12.6099,10494.3,8683.88,4172.74,1056.30
275,10,56,-47.11928,-22.94673,2024-08-29,09:00:00,34.3685,17.7417,29.0864,7.07800,409.904,0.671039,5.88685,21.4935,10.0023,6872.82,5712.91,2824.40,761.790
275,10,56,-47.11928,-22.94673,2024-08-29,10:00:00,47.2623,10.4215,21.3231,4.27693,309.962,0.492807,3.94566,19.5180,8.33709,4799.39,3905.66,1940.65,566.687
275,10,56,-47.11928,-22.94673,2024-08-29,11:00:00,58.2456,7.81735,19.0723,3.52863,284.516,0.447352,3.35075,19.6643,8.22825,4253.22,3396.94,1673.39,517.492
275,10,56,-47.11928,-22.94673,2024-08-29,12:00:00,68.0269,6.35792,18.4815,3.26412,279.927,0.422161,3.10854,19.9661,8.53663,4045.36,3192.75,1596.47,505.820
275,10,56,-47.11928,-22.94673,2024-08-29,13:00:00,75.1553,5.61105,19.1565,2.99686,288.104,0.413848,3.09301,19.9204,8.78807,3974.40,3007.29,1518.18,504.136
275,10,56,-47.11928,-22.94673,2024-08-29,14:00:00,82.1756,4.62475,19.5977,2.67562,294.204,0.414792,3.01764,20.2944,9.11645,3803.68,2759.88,1418.77,505.620
275,10,56,-47.11928,-22.94673,2024-08-29,15:00:00,86.9115,3.57780,20.5447,2.52463,302.263,0.430425,2.98595,21.0216,9.51991,3648.58,2576.33,1356.59,512.530
275,10,56,-47.11928,-22.94673,2024-08-29,16:00:00,85.8696,2.43864,23.7064,2.60963,311.722,0.458476,3.10893,21.7590,9.85353,3629.74,2538.67,1354.14,525.094
275,10,56,-47.11928,-22.94673,2024-08-29,17:00:00,74.3992,0.800779,30.9953,2.92930,324.772,0.508373,3.49523,21.4242,9.78999,4036.66,2875.73,1481.15,532.239
275,10,56,-47.11928,-22.94673,2024-08-29,18:00:00,45.6701,0.723364,54.9127,5.14776,445.292,0.783093,5.72685,23.1567,11.3930,6441.82,4799.81,2268.55,685.027
275,10,56,-47.11928,-22.94673,2024-08-29,19:00:00,15.1780,2.88405,81.4065,8.70669,577.605,1.25569,8.26472,25.8186,13.8200,9519.37,7416.43,3395.94,915.172
275,10,56,-47.11928,-22.94673,2024-08-29,20:00:00,46.5850,0.485625,34.4976,4.49570,279.089,0.692537,3.30426,17.1711,8.96946,4869.14,4082.16,1960.06,534.682
275,10,56,-47.11928,-22.94673,2024-08-29,21:00:00,52.9249,0.349653,27.8629,3.96353,241.649,0.651879,2.59328,17.1673,8.78912,4275.24,3643.33,1798.97,507.929
275,10,56,-47.11928,-22.94673,2024-08-29,22:00:00,36.0487,0.690524,33.9543,4.90581,263.614,0.761233,3.10834,18.1094,8.73819,4750.47,4002.34,1937.35,550.119
275,10,56,-47.11928,-22.94673,2024-08-29,23:00:00,17.3699,2.35442,40.8932,5.71779,307.042,0.842240,4.09554,18.9424,8.35969,5432.01,4478.13,2100.20,593.746
275,10,56,-47.11928,-22.94673,2024-08-30,00:00:00,3.84470,12.0700,49.9130,7.22719,439.736,1.01817,6.62219,22.2335,9.56676,7551.36,6196.00,2874.29,767.075
275,10,56,-47.11928,-22.94673,2024-08-30,01:00:00,0.642744,34.5880,55.5898,8.92031,679.187,1.23987,10.9976,26.9239,12.3461,11324.2,9094.30,4058.40,1042.12
275,10,56,-47.11928,-22.94673,2024-08-30,02:00:00,0.294750,49.2055,58.2357,10.1155,840.977,1.35524,13.9428,29.7847,14.3667,13927.5,11096.3,4858.23,1220.83
275,10,56,-47.11928,-22.94673,2024-08-30,03:00:00,0.270647,42.8956,58.5585,9.24874,794.114,1.22571,13.0578,27.8333,13.6955,13298.1,10623.4,4661.33,1171.21
275,10,56,-47.11928,-22.94673,2024-08-30,04:00:00,0.134533,48.9097,60.9586,9.15685,864.622,1.28364,14.3028,28.2887,14.4944,14406.6,11488.9,5023.07,1256.24
275,10,56,-47.11928,-22.94673,2024-08-30,05:00:00,0.742503E-01,54.0192,62.4506,9.81717,921.378,1.37958,15.3458,29.4991,15.3237,15446.9,12380.9,5408.05,1338.13
275,10,56,-47.11928,-22.94673,2024-08-30,06:00:00,0.575796,53.5420,61.3117,10.2351,909.790,1.38512,15.1687,29.3073,15.2150,15301.6,12306.9,5399.03,1338.16
275,10,56,-47.11928,-22.94673,2024-08-30,07:00:00,8.61693,47.2738,51.7931,8.43464,800.634,1.21155,13.1199,26.7015,14.1529,13339.7,10907.1,4989.69,1232.76
275,10,56,-47.11928,-22.94673,2024-08-30,08:00:00,19.2302,34.9259,41.6059,6.70551,636.828,0.949013,9.97694,24.4653,12.3993,10427.5,8629.51,4088.98,1017.73
275,10,56,-47.11928,-22.94673,2024-08-30,09:00:00,34.5144,16.9829,28.7805,4.35817,406.714,0.619016,5.72363,22.0415,9.36780,6425.72,5303.45,2583.18,693.931
275,10,56,-47.11928,-22.94673,2024-08-30,10:00:00,48.1474,10.1284,21.5002,3.07625,313.488,0.494830,3.91110,21.4975,8.46787,4775.63,3944.07,1964.53,566.135
275,10,56,-47.11928,-22.94673,2024-08-30,11:00:00,62.3529,7.22773,19.3257,2.33305,293.160,0.464866,3.30038,21.8465,8.77442,4284.28,3487.44,1734.95,527.397
