Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
275,10,56,-47.11928,-22.94673,2024-08-31,21:00:00,99.1778,0.708118E-01,21.6679,3.81990,298.633,0.822587,2.39635,22.2769,13.3558,4343.48,4014.42,2381.50,652.576
275,10,56,-47.11928,-22.94673,2024-08-31,22:00:00,62.3634,0.154422,23.7760,4.01892,245.180,0.890517,2.34684,16.6531,9.60541,3952.18,3581.88,2039.78,555.884
275,10,56,-47.11928,-22.94673,2024-08-31,23:00:00,50.8672,0.226467,25.3919,5.02481,227.421,0.867716,2.21765,17.3354,8.89951,3919.22,3515.69,1922.65,526.098
275,10,56,-47.11928,-22.94673,2024-09-01,00:00:00,34.4611,0.569157,31.1966,6.21919,245.177,0.888218,2.75885,19.2446,8.40972,4362.24,3774.54,1938.78,540.501
275,10,56,-47.11928,-22.94673,2024-09-01,01:00:00,21.2475,1.41923,33.4754,6.84829,259.389,0.780945,3.26317,19.5360,7.31625,4556.78,3761.93,1813.37,524.507
275,10,56,-47.11928,-22.94673,2024-09-01,02:00:00,19.6063,1.72791,31.2227,6.08282,257.266,0.641973,3.25077,19.8064,6.72047,4396.88,3589.33,1732.67,505.403
275,10,56,-47.11928,-22.94673,2024-09-01,03:00:00,24.5286,1.33977,26.1950,4.12861,230.973,0.511627,2.72070,17.8374,5.76257,3745.31,2962.13,1416.49,443.605
275,10,56,-47.11928,-22.94673,2024-09-01,04:00:00,23.2001,1.52662,27.9395,4.33391,242.290,0.533349,2.90966,17.1145,6.02503,3996.10,3292.74,1637.71,481.800
275,10,56,-47.11928,-22.94673,2024-09-01,05:00:00,24.6659,1.44152,26.8709,4.50138,235.723,0.531310,2.78928,17.2122,6.00209,3924.20,3244.66,1628.64,478.066
275,10,56,-47.11928,-22.94673,2024-09-01,06:00:00,26.2828,1.67460,24.8162,4.74808,225.379,0.524955,2.62173,16.9614,5.89298,3763.41,3097.99,1559.98,462.016
275,10,56,-47.11928,-22.94673,2024-09-01,07:00:00,33.8305,4.38728,17.3329,4.32577,206.659,0.476497,2.27673,14.8835,5.42562,3363.22,2687.04,1315.31,416.874
275,10,56,-47.11928,-22.94673,2024-09-01,08:00:00,38.8686,5.68213,13.8686,3.84090,200.612,0.457189,2.11234,14.8261,5.66492,3274.12,2701.60,1355.39,423.346
275,10,56,-47.11928,-22.94673,2024-09-01,09:00:00,47.9850,3.57595,8.39207,2.42871,156.646,0.373442,1.26232,15.9526,5.40564,2446.10,2022.68,1062.37,362.257
275,10,56,-47.11928,-22.94673,2024-09-01,10:00:00,56.1555,2.33785,6.00574,1.94458,135.237,0.368201,0.877448,17.3233,5.69243,2092.89,1761.63,974.343,343.834
275,10,56,-47.11928,-22.94673,2024-09-01,11:00:00,60.2508,1.49994,4.10336,1.08729,118.481,0.306449,0.588511,15.9766,5.28046,1673.08,1419.74,812.561,299.438
